Age,Occupation,Marital Status,Education Level,Credit Default,Housing Loan,Personal Loan,Contact Method,Campaign Calls,Previous Contact Days
56,blue-collar,divorced,basic.6y,no,unknown,no,Cell,3,999
36,admin.,married,high.school,no,unknown,no,Cell,2,999
34,services,married,high.school,no,no,no,Telephone,1,999
34,admin.,single,university.degree,no,unknown,no,Telephone,1,999
33,self-employed,married,university.degree,no,unknown,no,Cell,2,999
78,retired,married,high.school,no,yes,no,Cell,2,3
43,admin.,divorced,high.school,no,unknown,no,Cell,4,999
43,technician,married,basic.9y,no,unknown,no,Cell,1,999
30,technician,single,university.degree,no,unknown,no,Cell,2,999
46,admin.,married,high.school,no,unknown,no,Cell,1,999
35,blue-collar,married,basic.4y,no,unknown,no,Telephone,1,999
50,blue-collar,married,basic.4y,no,unknown,unknown,Telephone,1,999
47,self-employed,married,university.degree,no,no,no,Cell,4,999
42,services,married,university.degree,no,yes,no,Cell,6,999
37,admin.,single,high.school,no,yes,no,Telephone,5,999
52,management,married,university.degree,no,no,no,Cell,1,999
46,admin.,married,university.degree,no,yes,no,Telephone,7,999
34,unemployed,single,university.degree,no,unknown,no,Cell,1,999
44,management,married,university.degree,no,unknown,no,Telephone,2,999
34,admin.,married,high.school,no,no,no,Cell,4,18
43,services,married,basic.6y,no,unknown,no,Cell,4,999
42,blue-collar,married,basic.9y,no,unknown,no,Cell,2,999
58,admin.,married,university.degree,no,unknown,no,Cell,5,999
38,admin.,married,university.degree,no,unknown,no,Telephone,2,999
57,technician,married,university.degree,no,unknown,unknown,Cell,1,999
44,technician,married,university.degree,no,unknown,no,Cell,6,999
29,student,single,university.degree,no,unknown,unknown,Cell,1,999
43,blue-collar,married,basic.4y,no,unknown,no,Cell,2,999
57,retired,married,basic.4y,no,no,no,Cell,2,999
31,self-employed,married,basic.9y,no,unknown,no,Cell,1,999
38,admin.,divorced,high.school,no,yes,unknown,Telephone,2,999
54,blue-collar,married,basic.4y,no,yes,no,Cell,3,999
51,services,married,high.school,no,unknown,no,Telephone,28,999
39,blue-collar,married,basic.4y,no,unknown,unknown,Telephone,2,999
39,services,divorced,basic.9y,no,unknown,no,Telephone,4,999
33,admin.,single,high.school,no,unknown,yes,Telephone,7,999
32,technician,married,professional.course,no,yes,no,Cell,2,999
42,management,married,high.school,no,unknown,no,Cell,2,999
32,self-employed,single,university.degree,no,no,yes,Cell,2,999
55,admin.,single,university.degree,no,unknown,yes,Cell,1,999
46,services,married,high.school,no,unknown,no,Telephone,1,999
44,blue-collar,married,basic.4y,no,no,no,Telephone,3,999
40,blue-collar,married,basic.6y,no,unknown,unknown,Telephone,1,999
29,blue-collar,single,basic.4y,no,unknown,no,Cell,1,999
44,services,divorced,high.school,no,unknown,no,Telephone,2,999
38,admin.,divorced,high.school,no,unknown,no,Cell,1,999
31,technician,single,high.school,no,unknown,yes,Cell,2,999
52,admin.,divorced,high.school,no,no,no,Telephone,5,999
41,admin.,married,university.degree,no,yes,no,Telephone,3,999
44,blue-collar,married,professional.course,no,no,no,Cell,4,999
52,blue-collar,married,professional.course,no,no,yes,Telephone,3,999
42,management,married,university.degree,no,no,no,Telephone,2,999
44,technician,married,professional.course,no,unknown,no,Cell,2,999
33,technician,married,professional.course,no,unknown,yes,Telephone,2,999
53,admin.,single,basic.6y,no,unknown,unknown,Telephone,1,999
37,management,married,university.degree,no,unknown,no,Telephone,4,999
32,housemaid,married,high.school,no,yes,no,Telephone,2,999
27,blue-collar,single,basic.4y,no,unknown,unknown,Cell,2,999
42,blue-collar,married,high.school,no,unknown,yes,Telephone,1,999
60,admin.,married,professional.course,no,unknown,unknown,Cell,1,999
35,admin.,married,university.degree,no,no,unknown,Cell,2,999
47,technician,single,professional.course,no,unknown,unknown,Telephone,2,999
44,services,divorced,high.school,no,unknown,unknown,Telephone,3,999
42,admin.,divorced,university.degree,no,no,no,Telephone,1,999
58,housemaid,single,professional.course,no,unknown,no,Cell,2,6
41,services,married,high.school,no,unknown,no,Telephone,21,999
47,admin.,married,high.school,no,no,no,Telephone,1,999
36,admin.,married,university.degree,no,unknown,no,Cell,4,999
59,technician,divorced,basic.9y,no,yes,no,Cell,13,999
50,blue-collar,married,basic.4y,no,unknown,no,Telephone,12,999
37,blue-collar,divorced,basic.9y,no,unknown,no,Telephone,4,999
35,technician,married,university.degree,no,yes,no,Cell,2,999
31,technician,married,university.degree,no,unknown,no,Cell,2,999
37,self-employed,single,university.degree,no,unknown,no,Telephone,2,999
32,technician,married,high.school,no,unknown,no,Cell,6,999
60,blue-collar,married,university.degree,no,no,yes,Telephone,1,999
60,housemaid,married,university.degree,no,unknown,unknown,Cell,1,999
29,admin.,single,university.degree,no,unknown,no,Cell,14,999
40,blue-collar,married,basic.9y,no,no,no,Cell,3,999
40,admin.,married,university.degree,no,unknown,no,Cell,3,999
38,blue-collar,married,basic.9y,no,unknown,no,Cell,1,999
25,services,divorced,high.school,no,unknown,yes,Telephone,1,999
31,technician,single,university.degree,no,unknown,no,Telephone,3,999
42,blue-collar,married,basic.4y,no,unknown,unknown,Telephone,2,999
31,admin.,single,high.school,no,unknown,no,Cell,2,999
41,technician,married,basic.6y,no,unknown,no,Telephone,1,999
44,admin.,divorced,high.school,no,yes,yes,Cell,1,999
42,admin.,divorced,high.school,no,unknown,no,Cell,2,999
51,technician,married,high.school,no,no,no,Cell,1,6
31,admin.,married,university.degree,no,unknown,no,Cell,1,999
37,entrepreneur,divorced,high.school,no,no,no,Cell,3,999
30,admin.,divorced,university.degree,no,yes,no,Cell,2,999
39,admin.,married,high.school,no,yes,unknown,Cell,2,999
36,technician,single,university.degree,no,unknown,no,Cell,1,999
47,admin.,single,university.degree,no,unknown,no,Cell,2,999
28,admin.,single,university.degree,no,unknown,no,Cell,1,999
52,management,divorced,high.school,no,unknown,no,Telephone,4,999
58,entrepreneur,married,university.degree,no,unknown,no,Telephone,1,999
27,services,single,professional.course,no,unknown,yes,Telephone,1,999
44,admin.,single,university.degree,no,unknown,no,Cell,1,999
53,technician,married,university.degree,no,yes,no,Telephone,3,999
47,admin.,single,basic.4y,no,yes,yes,Telephone,2,999
24,technician,married,professional.course,no,no,no,Cell,2,999
36,technician,married,university.degree,no,unknown,yes,Cell,2,999
51,admin.,single,basic.6y,no,no,unknown,Telephone,4,999
33,admin.,married,university.degree,no,no,no,Cell,1,999
39,services,married,high.school,no,unknown,no,Cell,4,999
54,technician,married,university.degree,no,unknown,no,Cell,1,999
37,management,married,university.degree,no,unknown,no,Cell,1,999
52,management,married,university.degree,no,unknown,unknown,Cell,3,1
34,technician,divorced,professional.course,no,unknown,no,Cell,13,999
31,technician,single,university.degree,no,no,no,Telephone,1,5
56,services,married,high.school,no,unknown,no,Cell,1,999
32,admin.,married,university.degree,no,unknown,no,Telephone,1,999
32,technician,married,professional.course,no,unknown,no,Cell,6,999
52,blue-collar,single,basic.4y,no,yes,no,Telephone,1,999
32,blue-collar,married,basic.9y,no,no,no,Telephone,1,999
